id,variant_group,variant_num,skip,chapter,chapter_label,chapter_name,chapter_icon,topic,topic_label,topic_icon,cat,cat_label,pts,millionaire_val,difficulty,type,tags,q,option_a,option_b,option_c,option_d,answer,answer_raw,answer_display,answer_sig_figs,tolerance,unit,given_keys,given_vals_display,hint,sol_1,sol_2,sol_3,sol_4,notes,visual_type,visual_params,,
ch8-moleratio-200-001,ch8-moleratio-200,1,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Mole Ratios,moleratio,200,500,1,mc,conceptual|stoichiometry,The coefficients in a balanced chemical equation represent the:,mass ratios between substances,mole ratios between substances,volume ratios for gases only,energy changes only,mole ratios between substances,,,,,,,,Coefficients show relative numbers of moles (not mass or volume directly).,Balanced equations give mole ratios directly from coefficients.,Example: 2H₂ + O₂ → 2H₂O means 2 mol H₂ : 1 mol O₂ : 2 mol H₂O.,,,,,,,
ch8-moleratio-400-001,ch8-moleratio-400,1,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Mole Ratios,moleratio,400,1000,2,numeric,calculation|stoichiometry,"For the balanced equation N₂ + 3H₂ → 2NH₃, how many moles of H₂ are needed to react with 2.0 mol N₂?",,,,,,,6,6,2,0.1,mol,n_N2,2.0 mol,Use the mole ratio from the balanced equation.,Mole ratio H₂/N₂ = 3/1.,moles H₂ = 2.0 × (3/1) = 6.0 mol,,,2 sf; clean ratio,,,
ch8-moleratio-400-002,ch8-moleratio-400,2,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Mole Ratios,moleratio,400,1000,2,numeric,calculation|stoichiometry,"For the balanced equation 2H₂ + O₂ → 2H₂O, how many moles of O₂ are needed to produce 8.0 mol H₂O?",,,,,,,4,4,2,0.1,mol,n_H2O,8.0 mol,Use the mole ratio from the balanced equation.,Mole ratio O₂/H₂O = 1/2.,moles O₂ = 8.0 × (1/2) = 4.0 mol,,,2 sf; clean ratio,,,
ch8-moleratio-400-003,ch8-moleratio-400,3,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Mole Ratios,moleratio,400,1000,2,numeric,calculation|stoichiometry,"For the balanced equation 2Al + 3CuCl₂ → 2AlCl₃ + 3Cu, how many moles of Al are needed to produce 6.0 mol Cu?",,,,,,,4,4,2,0.1,mol,n_Cu,6.0 mol,Use the mole ratio from the balanced equation.,Mole ratio Al/Cu = 2/3.,moles Al = 6.0 × (2/3) = 4.0 mol,,,2 sf; clean ratio,,,
ch8-moleratio-400-004,ch8-moleratio-400,4,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Mole Ratios,moleratio,400,1000,2,numeric,calculation|stoichiometry,"For the balanced equation CH₄ + 2O₂ → CO₂ + 2H₂O, how many moles of O₂ are needed to react with 3.0 mol CH₄?",,,,,,,6,6,2,0.1,mol,n_CH4,3.0 mol,Use the mole ratio from the balanced equation.,Mole ratio O₂/CH₄ = 2/1.,moles O₂ = 3.0 × (2/1) = 6.0 mol,,,2 sf; clean ratio,,,
ch8-moleratio-400-005,ch8-moleratio-400,5,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Mole Ratios,moleratio,400,1000,2,numeric,calculation|stoichiometry,"For the balanced equation 2Na + Cl₂ → 2NaCl, how many moles of NaCl are produced from 5.0 mol Na?",,,,,,,5,5,2,0.1,mol,n_Na,5.0 mol,Use the mole ratio from the balanced equation.,Mole ratio NaCl/Na = 2/2 = 1/1.,moles NaCl = 5.0 × (1/1) = 5.0 mol,,,2 sf; clean 1:1,,,
ch8-moleratio-600-001,ch8-moleratio-600,1,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Mole Ratios,moleratio,600,2000,3,numeric,calculation|stoichiometry,"For the balanced equation 4NH₃ + 5O₂ → 4NO + 6H₂O, how many moles of NO are produced when 8.0 mol NH₃ react completely?",,,,,,,8,8,2,0.1,mol,n_NH3,8.0 mol,Use the mole ratio from the balanced equation.,Mole ratio NO/NH₃ = 4/4 = 1.,moles NO = 8.0 × 1 = 8.0 mol,,,2 sf,,,
ch8-moleratio-600-002,ch8-moleratio-600,2,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Mole Ratios,moleratio,600,2000,3,numeric,calculation|stoichiometry,"For the balanced equation 2C₂H₂ + 5O₂ → 4CO₂ + 2H₂O, how many moles of CO₂ are produced from 4.0 mol C₂H₂?",,,,,,,8,8,2,0.1,mol,n_C2H2,4.0 mol,Use the mole ratio from the balanced equation.,Mole ratio CO₂/C₂H₂ = 4/2 = 2.,moles CO₂ = 4.0 × 2 = 8.0 mol,,,2 sf,,,
ch8-gramstogram-200-001,ch8-gramstogram-200,1,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Grams to Grams,gram2gram,200,500,1,mc,conceptual|stoichiometry,"To convert grams of one substance to grams of another in a reaction, you must use:",only molar masses,direct gram-to-gram ratios,mole ratios and molar masses,only the balanced equation coefficients,mole ratios and molar masses,,,,,,,,Always convert grams → moles → moles (using ratio) → grams.,Path: g A → mol A (÷ MM) → mol B (× ratio) → g B (× MM).,This is the standard grams-to-grams stoichiometry path.,,,,,,,
ch8-gramstogram-400-001,ch8-gramstogram-400,1,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Grams to Grams,gram2gram,400,1000,2,numeric,calculation|stoichiometry,"2H₂ + O₂ → 2H₂O. How many grams of H₂O are produced from 4.0 g H₂? (MM H₂ = 2.0 g/mol, H₂O = 18.0 g/mol)",,,,,,,36,36,2,1,g,m_H2,4.0 g,Convert g H₂ to mol,then use mole ratio to mol H₂O,then to g.,mol H₂ = 4.0 / 2.0 = 2.0 mol,mol H₂O = 2.0 × (2/2) = 2.0 mol,g H₂O = 2.0 × 18.0 = 36 g,,2 sf; clean,
ch8-gramstogram-400-002,ch8-gramstogram-400,2,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Grams to Grams,gram2gram,400,1000,2,numeric,calculation|stoichiometry,"N₂ + 3H₂ → 2NH₃. How many grams of NH₃ are produced from 28 g N₂? (MM N₂ = 28 g/mol, NH₃ = 17 g/mol)",,,,,,,34,34,2,1,g,m_N2,28 g,Convert g N₂ to mol,then use mole ratio to mol NH₃,then to g.,mol N₂ = 28 / 28 = 1.0 mol,mol NH₃ = 1.0 × (2/1) = 2.0 mol,g NH₃ = 2.0 × 17 = 34 g,,2 sf; clean,
ch8-gramstogram-400-003,ch8-gramstogram-400,3,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Grams to Grams,gram2gram,400,1000,2,numeric,calculation|stoichiometry,"2Al + 3CuCl₂ → 2AlCl₃ + 3Cu. How many grams of Cu are produced from 5.4 g Al? (MM Al = 27 g/mol, Cu = 64 g/mol)",,,,,,,19.2,19.2,3,0.1,g,m_Al,5.4 g,Convert g Al to mol,then use mole ratio to mol Cu,then to g.,mol Al = 5.4 / 27 = 0.20 mol,mol Cu = 0.20 × (3/2) = 0.30 mol,g Cu = 0.30 × 64 = 19.2 g,,,
